          table_name          |  rows   
------------------------------+---------
 active_faults                |       0
 addresses                    |       0
 admin_content                |       0
 air_quality_sites            |       0
 aircraft_noise_overlay       |       0
 area_profiles                |       0
 at_stop_frequency            |       0
 at_stops                     |       0
 at_travel_times              |       0
 auckland_rates_cache         |       0
 auckland_schools             |       0
 bonds_detailed               |       0
 bonds_region                 |       0
 bonds_tla                    |       0
 building_outlines            |       0
 cbd_points                   |      20
 character_precincts          |       0
 climate_grid                 |       0
 climate_projections          |       0
 coastal_elevation            |       0
 coastal_erosion              |       0
 coastal_inundation           |       0
 conservation_land            |       0
 contaminated_land            |       0
 corrosion_zones              |       0
 council_valuations           |       0
 crashes                      |       0
 crime                        |       0
 data_sources                 |       0
 data_versions                |       2
 district_plan_zones          |       0
 doc_campsites                |       0
 doc_huts                     |       0
 doc_tracks                   |       0
 earthquake_hazard            |       0
 earthquake_prone_buildings   |       0
 earthquakes                  |       0
 email_signups                |       0
 erosion_prone_land           |       0
 fault_avoidance_zones        |       0
 fault_zones                  |       0
 feedback                     |       0
 flood_extent                 |       0
 flood_hazard                 | 6201986
 flood_zones                  |       0
 geotechnical_reports         |       0
 ground_shaking               |       0
 guest_purchases              |       0
 gwrc_earthquake_hazard       |       0
 gwrc_ground_shaking          |       0
 gwrc_liquefaction            |       0
 gwrc_slope_failure           |       0
 height_controls              |       0
 height_variation_control     |       0
 heritage_extent              |       0
 heritage_sites               |       0
 historic_heritage_overlay    |       0
 hpi_national                 |     143
 infrastructure_projects      |       0
 landslide_areas              |       0
 landslide_events             |       0
 landslide_susceptibility     |       0
 liquefaction_detail          |       0
 liquefaction_zones           |       0
 mana_whenua_sites            |       0
 market_rent_cache            |       0
 mbie_epb                     |       0
 meshblocks                   |       0
 metlink_stops                |       0
 mv_crime_choropleth          |       0
 mv_crime_density             |       0
 mv_crime_ta                  |       0
 mv_nzdep_choropleth          |       0
 mv_rental_market             |       0
 mv_rental_trends             |       0
 mv_sa2_comparisons           |       0
 mv_sa2_valuations            |       0
 mv_ta_comparisons            |       0
 noise_contours               |       0
 notable_trees                |       0
 nzdep                        |       0
 osm_amenities                |       0
 overland_flow_paths          |       0
 parcels                      |       0
 park_extents                 |       0
 promo_redemptions            |       2
 property_titles              |       0
 rail_vibration               |       0
 rbnz_housing                 |       0
 report_credits               |       2
 report_snapshots             |       3
 resource_consents            |       0
 sa2_boundaries               |       0
 saved_properties             |       0
 saved_reports                |       3
 schema_migrations            |       1
 school_zones                 |       0
 schools                      |       0
 significant_ecological_areas |       0
 slope_failure                |       0
 slope_failure
