          table_name          |          column_name          |        data_type         
------------------------------+-------------------------------+--------------------------
 active_faults                | id                            | integer
 active_faults                | fault_name                    | text
 active_faults                | fault_id                      | text
 active_faults                | fault_class                   | text
 active_faults                | slip_rate_mm_yr               | numeric
 active_faults                | recurrence_interval           | text
 active_faults                | last_rupture                  | text
 active_faults                | fault_type                    | text
 active_faults                | accuracy                      | text
 active_faults                | data_source                   | text
 active_faults                | geom                          | USER-DEFINED
 active_faults                | source_council                | text
 addresses                    | fid                           | integer
 addresses                    | geom                          | USER-DEFINED
 addresses                    | address_id                    | integer
 addresses                    | source_dataset                | character varying
 addresses                    | change_id                     | integer
 addresses                    | full_address_number           | character varying
 addresses                    | full_road_name                | character varying
 addresses                    | full_address                  | character varying
 addresses                    | territorial_authority         | character varying
 addresses                    | unit_type                     | character varying
 addresses                    | unit_value                    | character varying
 addresses                    | level_type                    | character varying
 addresses                    | level_value                   | character varying
 addresses                    | address_number_prefix         | character varying
 addresses                    | address_number                | integer
 addresses                    | address_number_suffix         | character varying
 addresses                    | address_number_high           | integer
 addresses                    | road_name_prefix              | character varying
 addresses                    | road_name                     | character varying
 addresses                    | road_type_name                | character varying
 addresses                    | road_suffix                   | character varying
 addresses                    | water_name                    | character varying
 addresses                    | water_body_name               | character varying
 addresses                    | suburb_locality               | character varying
 addresses                    | town_city                     | character varying
 addresses                    | address_class                 | character varying
 addresses                    | address_lifecycle             | character varying
 addresses                    | gd2000_xcoord                 | double precision
 addresses                    | gd2000_ycoord                 | double precision
 addresses                    | road_name_ascii               | character varying
 addresses                    | water_name_ascii              | character varying
 addresses                    | water_body_name_ascii         | character varying
 addresses                    | suburb_locality_ascii         | character varying
 addresses                    | town_city_ascii               | character varying
 addresses                    | full_road_name_ascii          | character varying
 addresses                    | full_address_ascii            | character varying
 addresses                    | search_vector                 | tsvector
 admin_content                | key                           | text
 admin_content                | value                         | jsonb
 admin_content                | updated_at                    | timestamp with time zone
 air_quality_sites            | id                            | integer
 air_quality_sites            | lawa_id                       | text
 air_quality_sites            | site_name                     | text
 air_quality_sites            | town                          | text
 air_quality_sites            | region                        | text
 air_quality_sites            | agency                        | text
 air_quality_sites            | site_type                     | text
 air_quality_sites            | pm10_trend                    | text
 air_quality_sites            | pm25_trend                    | text
 air_quality_sites            | geom                          | USER-DEFINED
 aircraft_noise_overlay       | id                            | integer
 aircraft_noise_overlay       | name                          | text
 aircraft_noise_overlay       | noise_level_dba               | integer
 aircraft_noise_overlay       | noise_category                | text
 aircraft_noise_overlay       | source_council                | character varying
 aircraft_noise_overlay       | geom                          | USER-DEFINED
 area_profiles                | sa2_code                      | text
 area_profiles                | sa2_name                      | text
 area_profiles                | ta_name                       | text
 area_profiles                | profile                       | text
 area_profiles                | data_snapshot                 | jsonb
 area_profiles                | model_used                    | text
 area_profiles                | generated_at                  | timestamp with time zone
 at_stop_frequency            | stop_id                       | character varying
 at_stop_frequency            | peak_trips_per_hour           | real
 at_stops                     | id                            | integer
 at_stops                     | stop_id                       | character varying
 at_stops                     | stop_code                     | character varying
 at_stops                     | stop_name                     | text
 at_stops                     | zone_id                       | character varying
 at_stops                     | route_types                   | ARRAY
 at_stops                     | geom                          | USER-DEFINED
 at_travel_times              | id                            | integer
 at_travel_times              | stop_id                       | character varying
 at_travel_times              | destination                   | text
 at_travel_times              | min_minutes                   | real
 at_travel_times              | route_names                   | ARRAY
 at_travel_times              | peak_window                   | text
 auckland_rates_cache         | rate_account_key              | text
 auckland_rates_cache         | valuation_number              | text
 auckland_rates_cache         | address                       | text
 auckland_rates_cache         | street_number                 | text
 auckland_rates_cache         | street_name                   | text
 auckland_rates_cache         | suburb                        | text
 auckland_rates_cache         | city                          | text
 auckland_rates_cache         | legal_description             | text
 auckland_rates_cache         | record_of_title               | text
 auckland_rates_cache         | property_category             | text
 auckland_rates_cache         | land_use                      | text
 auckland_rates_cache         | local_board                   | text
 auckland_rates_cache         | total_floor_area_sqm          | numeric
 auckland_rates_cache         | building_coverage_pct         | numeric
 auckland_rates_cache         | capital_value                 | integer
 auckland_rates_cache         | land_value                    | integer
 auckland_rates_cache         | improvements_value            | integer
 auckland_rates_cache         | total_rates                   | numeric
 auckland_rates_cache         | rate_breakdown                | jsonb
 auckland_rates_cache         | x_coord                       | numeric
 auckland_rates_cache         | y_coord                       | numeric
 auckland_rates_cache         | fetched_at                    | timestamp with time zone
 auckland_rates_cache         | updated_at                    | timestamp with time zone
 auckland_schools             | id                            | integer
 auckland_schools             | school_number                 | integer
 auckland_schools             | school_name                   | text
 auckland_schools             | school_type                   | text
 auckland_schools             | school_website                | text
 auckland_schools             | definition                    | text
 auckland_schools             | authority                     | text
 auckland_schools             | gender                        | text
 auckland_schools             | decile                        | integer
 auckland_schools             | source_council                | character varying
 auckland_schools             | geom                          | USER-DEFINED
